

Experiment Type,List Size,Cycle Start,Cycle Length,Steps,Execution Time (microseconds)
Random Offset,3001,392,75,1500,0
Random Offset,3001,2232,101,1500,0


 



Fixed Offset,22001,2000,199,11000,0
Fixed Offset,22001,2000,301,11000,0
Fixed Offset,22001,2000,401,11000,0
Fixed Offset,20003,2000,199,10001,0
Fixed Offset,20003,2000,301,10001,0
Fixed Offset,20003,2000,401,10001,0
Fixed Offset,30007,2000,199,15003,0
Fixed Offset,30007,2000,301,15003,0
Fixed Offset,30007,2000,401,15003,0
Fixed Offset,22001,5000,199,11000,0
Fixed Offset,22001,5000,301,11000,999
Fixed Offset,22001,5000,401,11000,0
Fixed Offset,20003,5000,199,10001,0
Fixed Offset,20003,5000,301,10001,1000
Fixed Offset,20003,5000,401,10001,0
Fixed Offset,30007,5000,199,15003,0
Fixed Offset,30007,5000,301,15003,0
Fixed Offset,30007,5000,401,15003,0
Fixed Offset,22001,7000,199,11000,0
Fixed Offset,22001,7000,301,11000,0
Fixed Offset,22001,7000,401,11000,0
Fixed Offset,20003,7000,199,10001,0
Fixed Offset,20003,7000,301,10001,999
Fixed Offset,20003,7000,401,10001,0
Fixed Offset,30007,7000,199,15003,0
Fixed Offset,30007,7000,301,15003,1000
Fixed Offset,30007,7000,401,15003,0



Random Offset,22001,7242,199,11000,1000
Random Offset,22001,1431,301,11000,0
Random Offset,22001,5333,401,11000,0
Random Offset,20003,6235,199,10001,0
Random Offset,20003,502,301,10001,0
Random Offset,20003,4303,401,10001,0
Random Offset,30007,18611,199,15003,999
Random Offset,30007,23916,301,15003,0
Random Offset,30007,27908,401,15003,1002
Random Offset,22001,7245,199,11000,0
Random Offset,22001,12179,301,11000,0
Random Offset,22001,1196,401,11000,0
Random Offset,20003,10295,199,10001,0
Random Offset,20003,10817,301,10001,0
Random Offset,20003,8230,401,10001,0
Random Offset,30007,21723,199,15003,0
Random Offset,30007,20989,301,15003,999
Random Offset,30007,11651,401,15003,0
Random Offset,22001,7245,199,11000,0
Random Offset,22001,12179,301,11000,0
Random Offset,22001,1196,401,11000,0
Random Offset,20003,10295,199,10001,0
Random Offset,20003,10817,301,10001,0
Random Offset,20003,8230,401,10001,0
Random Offset,30007,21723,199,15003,0
Random Offset,30007,20989,301,15003,0
Random Offset,30007,11651,401,15003,0
Random Offset,22001,7245,199,11000,0
Random Offset,22001,12179,301,11000,0
Random Offset,22001,1196,401,11000,0
Random Offset,20003,10295,199,10001,0
Random Offset,20003,10817,301,10001,999
Random Offset,20003,8230,401,10001,0
Random Offset,30007,21723,199,15003,0
Random Offset,30007,20989,301,15003,0
Random Offset,30007,11651,401,15003,0
Random Offset,22001,7245,199,11000,1018
Random Offset,22001,12179,301,11000,0
Random Offset,22001,1196,401,11000,0
Random Offset,20003,10295,199,10001,0
Random Offset,20003,10817,301,10001,0
Random Offset,20003,8230,401,10001,0
Random Offset,30007,21723,199,15003,999
Random Offset,30007,20989,301,15003,0
Random Offset,30007,11651,401,15003,0


      


Fixed Offset,100001,25000,1001,50000,0
Fixed Offset,100001,25000,2001,50000,998
Fixed Offset,100001,25000,5001,50000,0
Fixed Offset,200003,25000,1001,100001,999
Fixed Offset,200003,25000,2001,100001,1000
Fixed Offset,200003,25000,5001,100001,1000
Fixed Offset,300011,25000,1001,150005,1000
Fixed Offset,300011,25000,2001,150005,2000
Fixed Offset,300011,25000,5001,150005,999
Fixed Offset,100001,50000,1001,50000,0
Fixed Offset,100001,50000,2001,50000,0
Fixed Offset,100001,50000,5001,50000,0
Fixed Offset,200003,50000,1001,100001,0
Fixed Offset,200003,50000,2001,100001,1001
Fixed Offset,200003,50000,5001,100001,1000
Fixed Offset,300011,50000,1001,150005,1000
Fixed Offset,300011,50000,2001,150005,2004
Fixed Offset,300011,50000,5001,150005,1004
Fixed Offset,100001,75000,1001,50000,0
Fixed Offset,100001,75000,2001,50000,0
Fixed Offset,100001,75000,5001,50000,999
Fixed Offset,200003,75000,1001,100001,1001
Fixed Offset,200003,75000,2001,100001,2011
Fixed Offset,200003,75000,5001,100001,1001
Fixed Offset,300011,75000,1001,150005,1001
Fixed Offset,300011,75000,2001,150005,1000
Fixed Offset,300011,75000,5001,150005,2005



Random Offset,100001,7621,1001,50000,0
Random Offset,100001,3062,2001,50000,1003
Random Offset,100001,13193,5001,50000,1000
Random Offset,200003,12299,1001,100001,1001
Random Offset,200003,17345,2001,100001,0
Random Offset,200003,1052,5001,100001,1999
Random Offset,300011,19207,1001,150005,1002
Random Offset,300011,12033,2001,150005,1001
Random Offset,300011,9940,5001,150005,2004
Random Offset,100001,7621,1001,50000,999
Random Offset,100001,3062,2001,50000,0
Random Offset,100001,13193,5001,50000,1003
Random Offset,200003,12299,1001,100001,0
Random Offset,200003,17345,2001,100001,1001
Random Offset,200003,1052,5001,100001,998
Random Offset,300011,19207,1001,150005,1002
Random Offset,300011,12033,2001,150005,1000
Random Offset,300011,9940,5001,150005,3017
Random Offset,100001,7624,1001,50000,0
Random Offset,100001,13810,2001,50000,0
Random Offset,100001,31057,5001,50000,1001
Random Offset,200003,3595,1001,100001,1000
Random Offset,200003,27659,2001,100001,999
Random Offset,200003,4979,5001,100001,1001
Random Offset,300011,22320,1001,150005,1000
Random Offset,300011,9105,2001,150005,998
Random Offset,300011,26452,5001,150005,1002
Random Offset,100001,7624,1001,50000,0
Random Offset,100001,13810,2001,50000,1000
Random Offset,100001,31057,5001,50000,0
Random Offset,200003,3595,1001,100001,1000
Random Offset,200003,27659,2001,100001,0
Random Offset,200003,4979,5001,100001,1000
Random Offset,300011,22320,1001,150005,1003
Random Offset,300011,9105,2001,150005,2004
Random Offset,300011,26452,5001,150005,1001
Random Offset,100001,7624,1001,50000,0
Random Offset,100001,13810,2001,50000,0
Random Offset,100001,31057,5001,50000,1000
Random Offset,200003,3595,1001,100001,1000
Random Offset,200003,27659,2001,100001,1002
Random Offset,200003,4979,5001,100001,3008
Random Offset,300011,22320,1001,150005,1000
Random Offset,300011,9105,2001,150005,1000
Random Offset,300011,26452,5001,150005,1007






